"Aktien_name","Aktien_URL","Aktien_Bilanzdaten_DieAktie","Aktien_Bilanzdaten_Jahr","Aktien_Bilanzdaten_EPSundiluted","Aktien_Bilanzdaten_EPSdiluted","Aktien_Bilanzdaten_DPS","Aktien_Bilanzdaten_GUV","Aktien_Bilanzdaten_Turnover","Aktien_Bilanzdaten_equityratio","Aktien_Bilanzdaten_deptratio","Aktien_HVDiv_Datum","Aktien_HVDiv_Dividende"
"Erste Group Bank Aktie [WKN: 65201 / ISIN: AT0000652011]","http://www.finanzen.at/bilanz_guv/Erste_Group_Bank","Erste Group Bank AG: Die Aktie (in EUR)","2014","-3,37","-3,37","0","Erste Group Bank AG: GuV (in Mio. EUR)","21,63","5,01","94,99","",""
"Erste Group Bank Aktie [WKN: 65201 / ISIN: AT0000652011]","http://www.finanzen.at/bilanz_guv/Erste_Group_Bank","Erste Group Bank AG: Die Aktie (in EUR)","2015","2,27","2,27","0,5","Erste Group Bank AG: GuV (in Mio. EUR)","21,82","5,48","94,52","",""
"Erste Group Bank Aktie [WKN: 65201 / ISIN: AT0000652011]","http://www.finanzen.at/bilanz_guv/Erste_Group_Bank","Erste Group Bank AG: Die Aktie (in EUR)","2016","2,93","2,93","1","Erste Group Bank AG: GuV (in Mio. EUR)","20,5","5,71","94,29","",""
"","","","","","","","","","","","11.05.16","0,50"
"","","","","","","","","","","","12.05.15","-"
"","","","","","","","","","","","21.05.14","0,20"
"","","","","","","","","","","","16.05.13","0,40"
"","","","","","","","","","","","15.05.12","-"
"","","","","","","","","","","","12.05.11","0,70"
"","","","","","","","","","","","12.05.10","0,65"
"","","","","","","","","","","","12.05.09","0,65"
"","","","","","","","","","","","06.05.08","0,75"
"","","","","","","","","","","","31.05.07","0,65"
"","","","","","","","","","","","19.05.06","0,55"
"","","","","","","","","","","","11.05.05","0,50"
"","","","","","","","","","","","04.05.04","0,38"
"","","","","","","","","","","","06.05.03","0,31"
"Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62]","http://www.finanzen.at/bilanz_guv/Flughafen_Wien","Flughafen Wien AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Flughafen Wien AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62]","http://www.finanzen.at/bilanz_guv/Flughafen_Wien","Flughafen Wien AG: Die Aktie (in EUR)","2010","0,9","0,9","0,5","Flughafen Wien AG: GuV (in Mio. EUR)","6,36","40,92","59,08","",""
"Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62]","http://www.finanzen.at/bilanz_guv/Flughafen_Wien","Flughafen Wien AG: Die Aktie (in EUR)","2011","0,38","0,38","0,25","Flughafen Wien AG: GuV (in Mio. EUR)","6,93","37,55","62,45","",""
"Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62]","http://www.finanzen.at/bilanz_guv/Flughafen_Wien","Flughafen Wien AG: Die Aktie (in EUR)","2012","0,86","0,86","0,26","Flughafen Wien AG: GuV (in Mio. EUR)","7,23","41,02","58,98","",""
"Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62]","http://www.finanzen.at/bilanz_guv/Flughafen_Wien","Flughafen Wien AG: Die Aktie (in EUR)","2013","0,87","0,87","0,33","Flughafen Wien AG: GuV (in Mio. EUR)","7,4","46,05","53,95","",""
"Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62]","http://www.finanzen.at/bilanz_guv/Flughafen_Wien","Flughafen Wien AG: Die Aktie (in EUR)","2014","0,98","0,98","0,41","Flughafen Wien AG: GuV (in Mio. EUR)","7,5","49,89","50,11","",""
"Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62]","http://www.finanzen.at/bilanz_guv/Flughafen_Wien","Flughafen Wien AG: Die Aktie (in EUR)","2015","1,2","1,2","0,5","Flughafen Wien AG: GuV (in Mio. EUR)","7,79","52,95","47,05","",""
"Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62]","http://www.finanzen.at/bilanz_guv/Flughafen_Wien","Flughafen Wien AG: Die Aktie (in EUR)","2016","1,22","1,22","0,63","Flughafen Wien AG: GuV (in Mio. EUR)","8,83","51,94","48,06","",""
"","","","","","","","","","","","31.05.16","0,50"
"","","","","","","","","","","","06.05.15","0,41"
"","","","","","","","","","","","05.05.14","0,33"
"","","","","","","","","","","","30.04.13","0,26"
"","","","","","","","","","","","24.04.12","0,25"
"","","","","","","","","","","","29.04.11","0,50"
"","","","","","","","","","","","29.04.10","0,53"
"","","","","","","","","","","","20.08.09","2,60"
"","","","","","","","","","","","23.04.09","0,65"
"","","","","","","","","","","","29.04.08","0,63"
"","","","","","","","","","","","25.04.07","0,55"
"","","","","","","","","","","","20.04.06","0,50"
"","","","","","","","","","","","21.04.05","0,50"
"","","","","","","","","","","","22.04.04","0,50"
"","","","","","","","","","","","24.04.03","0,50"
"IMMOFINANZ Aktie [WKN: 80905 / ISIN: AT0000809058]","http://www.finanzen.at/bilanz_guv/IMMOFINANZ","IMMOFINANZ: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","IMMOFINANZ: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"IMMOFINANZ Aktie [WKN: 80905 / ISIN: AT0000809058]","http://www.finanzen.at/bilanz_guv/IMMOFINANZ","IMMOFINANZ: Die Aktie (in EUR)","2010","0,17","0,17","0","IMMOFINANZ: GuV (in Mio. EUR)","1,32","40,39","59,61","",""
"IMMOFINANZ Aktie [WKN: 80905 / ISIN: AT0000809058]","http://www.finanzen.at/bilanz_guv/IMMOFINANZ","IMMOFINANZ: Die Aktie (in EUR)","2011","0,32","0,3","0","IMMOFINANZ: GuV (in Mio. EUR)","0,75","43,86","56,14","",""
