"Aktien_name","Aktien_URL","Aktien_Bilanzdaten_DieAktie","Aktien_Bilanzdaten_Jahr","Aktien_Bilanzdaten_EPSundiluted","Aktien_Bilanzdaten_EPSdiluted","Aktien_Bilanzdaten_DPS","Aktien_Bilanzdaten_GUV","Aktien_Bilanzdaten_Turnover","Aktien_Bilanzdaten_equityratio","Aktien_Bilanzdaten_deptratio","Aktien_HVDiv_Datum","Aktien_HVDiv_Dividende"
"","","","","","","","","","","","03.07.13","0,90"
"","","","","","","","","","","","04.07.12","0,80"
"","","","","","","","","","","","06.07.11","0,80"
"","","","","","","","","","","","07.07.10","0,50"
"","","","","","","","","","","","01.07.09","1,05"
"","","","","","","","","","","","02.07.08","2,10"
"","","","","","","","","","","","23.06.08","-"
"","","","","","","","","","","","04.07.07","1,45"
"","","","","","","","","","","","08.05.07","-"
"","","","","","","","","","","","05.07.06","0,78"
"","","","","","","","","","","","16.05.06","2,05"
"","","","","","","","","","","","30.06.05","0,53"
"","","","","","","","","","","","10.05.05","1,88"
"","","","","","","","","","","","01.07.04","0,40"
"","","","","","","","","","","","03.05.04","1,10"
"","","","","","","","","","","","01.07.03","0,30"
"","","","","","","","","","","","12.05.03","0,63"
"Wienerberger Aktie [WKN: 83170 / ISIN: AT0000831706]","http://www.finanzen.at/bilanz_guv/Wienerberger","Wienerberger AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Wienerberger AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Wienerberger Aktie [WKN: 83170 / ISIN: AT0000831706]","http://www.finanzen.at/bilanz_guv/Wienerberger","Wienerberger AG: Die Aktie (in EUR)","2010","-0,57","-0,57","0,1","Wienerberger AG: GuV (in Mio. EUR)","14,97","49,95","50,05","",""
"Wienerberger Aktie [WKN: 83170 / ISIN: AT0000831706]","http://www.finanzen.at/bilanz_guv/Wienerberger","Wienerberger AG: Die Aktie (in EUR)","2011","0,08","0,08","0,12","Wienerberger AG: GuV (in Mio. EUR)","17,33","47,63","52,37","",""
"Wienerberger Aktie [WKN: 83170 / ISIN: AT0000831706]","http://www.finanzen.at/bilanz_guv/Wienerberger","Wienerberger AG: Die Aktie (in EUR)","2012","-0,61","-0,61","0,12","Wienerberger AG: GuV (in Mio. EUR)","20,47","45,11","54,89","",""
"Wienerberger Aktie [WKN: 83170 / ISIN: AT0000831706]","http://www.finanzen.at/bilanz_guv/Wienerberger","Wienerberger AG: Die Aktie (in EUR)","2013","-0,34","-0,34","0,12","Wienerberger AG: GuV (in Mio. EUR)","23,14","41,78","58,22","",""
"Wienerberger Aktie [WKN: 83170 / ISIN: AT0000831706]","http://www.finanzen.at/bilanz_guv/Wienerberger","Wienerberger AG: Die Aktie (in EUR)","2014","-1,74","-1,74","0,15","Wienerberger AG: GuV (in Mio. EUR)","24,43","39,33","60,67","",""
"Wienerberger Aktie [WKN: 83170 / ISIN: AT0000831706]","http://www.finanzen.at/bilanz_guv/Wienerberger","Wienerberger AG: Die Aktie (in EUR)","2015","0,31","0,31","0,2","Wienerberger AG: GuV (in Mio. EUR)","25,41","40,63","59,37","",""
"Wienerberger Aktie [WKN: 83170 / ISIN: AT0000831706]","http://www.finanzen.at/bilanz_guv/Wienerberger","Wienerberger AG: Die Aktie (in EUR)","2016","0,7","0,7","0,27","Wienerberger AG: GuV (in Mio. EUR)","25,43","41,82","58,18","",""
"","","","","","","","","","","","12.05.16","0,20"
"","","","","","","","","","","","22.05.15","0,15"
"","","","","","","","","","","","16.05.14","0,12"
"","","","","","","","","","","","14.05.13","0,12"
"","","","","","","","","","","","11.05.12","0,12"
"","","","","","","","","","","","13.05.11","0,10"
"","","","","","","","","","","","20.05.10","-"
"","","","","","","","","","","","14.05.09","-"
"","","","","","","","","","","","09.05.08","1,45"
"","","","","","","","","","","","10.05.07","1,30"
"","","","","","","","","","","","27.04.06","1,18"
"","","","","","","","","","","","12.05.05","1,07"
"","","","","","","","","","","","11.05.04","0,77"
"","","","","","","","","","","","15.05.03","0,66"
"ZUMTOBEL Aktie [WKN: 83730 / ISIN: AT0000837307]","http://www.finanzen.at/bilanz_guv/ZUMTOBEL","ZUMTOBEL AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","ZUMTOBEL AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"ZUMTOBEL Aktie [WKN: 83730 / ISIN: AT0000837307]","http://www.finanzen.at/bilanz_guv/ZUMTOBEL","ZUMTOBEL AG: Die Aktie (in EUR)","2011","1,19","1,19","0,5","ZUMTOBEL AG: GuV (in Mio. EUR)","28,67","36,78","63,22","",""
"ZUMTOBEL Aktie [WKN: 83730 / ISIN: AT0000837307]","http://www.finanzen.at/bilanz_guv/ZUMTOBEL","ZUMTOBEL AG: Die Aktie (in EUR)","2012","0,37","0,37","0,2","ZUMTOBEL AG: GuV (in Mio. EUR)","29,68","35,5","64,5","",""
"ZUMTOBEL Aktie [WKN: 83730 / ISIN: AT0000837307]","http://www.finanzen.at/bilanz_guv/ZUMTOBEL","ZUMTOBEL AG: Die Aktie (in EUR)","2013","0,14","0,14","0,07","ZUMTOBEL AG: GuV (in Mio. EUR)","28,84","35,57","64,43","",""
"ZUMTOBEL Aktie [WKN: 83730 / ISIN: AT0000837307]","http://www.finanzen.at/bilanz_guv/ZUMTOBEL","ZUMTOBEL AG: Die Aktie (in EUR)","2014","-0,12","-0,12","0,18","ZUMTOBEL AG: GuV (in Mio. EUR)","28,9","32,17","67,83","",""
"ZUMTOBEL Aktie [WKN: 83730 / ISIN: AT0000837307]","http://www.finanzen.at/bilanz_guv/ZUMTOBEL","ZUMTOBEL AG: Die Aktie (in EUR)","2015","0,28","0,28","0,22","ZUMTOBEL AG: GuV (in Mio. EUR)","30,43","28,88","71,12","",""
"ZUMTOBEL Aktie [WKN: 83730 / ISIN: AT0000837307]","http://www.finanzen.at/bilanz_guv/ZUMTOBEL","ZUMTOBEL AG: Die Aktie (in EUR)","2016","0,26","0,26","0,2","ZUMTOBEL AG: GuV (in Mio. EUR)","31,44","30,16","69,84","",""
"ZUMTOBEL Aktie [WKN: 83730 / ISIN: AT0000837307]","http://www.finanzen.at/bilanz_guv/ZUMTOBEL","ZUMTOBEL AG: Die Aktie (in EUR)","2017","0,59","0,59","0,23","ZUMTOBEL AG: GuV (in Mio. EUR)","30,22","31,75","68,25","",""
"","","","","","","","","","","","22.07.16","0,20"
"","","","","","","","","","","","24.07.15","0,22"
"","","","","","","","","","","","25.07.14","0,18"
"","","","","","","","","","","","26.07.13","0,07"
"","","","","","","","","","","","27.07.12","0,20"
"","","","","","","","","","","","22.07.11","0,50"
"","","","","","","","","","","","23.07.10","0,15"
"","","","","","","","","","","","24.07.09","-"
"","","","","","","","","","","","29.07.08","0,70"
"","","","","","","","","","","","26.07.07","0,50"
